SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,DEPT_CODE,DEPT_DIVISION,ADDRESS,NEIGHBORHOOD,ZIPCODE,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD
SR25000265,NMUNIZ,SMUSTRFL,"FLOODING, IN STREET",STANDARD,"2,787",CWW,,6231 CORBLY ST,MT. WASHINGTON,45230.0,RADIO,2025 Jan 02 12:00:00 AM,10:43 AM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,8:41 AM,2025 Jan 03 12:00:00 AM,8:41 AM,24,1/3/2025,2025 Jan 09 12:00:00 AM,7,,,,,,,,,Y,0,,,"6,231",,CORBLY ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.09413117,-84.38590953,1/2/2025,MOUNT WASHINGTON
SR25000320,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,5098 OAKLAWN DR,MADISONVILLE,45227.0,INTERNET,2025 Jan 02 12:00:00 AM,11:47 AM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,8:42 AM,2025 Jan 03 12:00:00 AM,8:42 AM,24,1/3/2025,2025 Jan 09 12:00:00 AM,7,,,,,,WEDNESDAY,,,Y,0,,,"5,098",,OAKLAWN DR,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.16477369,-84.41453474,1/2/2025,MADISONVILLE
SR25001000,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,635 ROEBLING RD,WEST PRICE HILL,45238.0,INTERNET,2025 Jan 04 12:00:00 AM,11:53 AM,2025 Jan 09 12:00:00 AM,CLOSED,CLOSED,2025 Jan 09 12:00:00 AM,9:54 AM,2025 Jan 09 12:00:00 AM,9:54 AM,24,1/5/2025,2025 Jan 11 12:00:00 AM,7,,,,,,MONDAY,MON05,1,Y,0,,,635,,ROEBLING RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.1018423,-84.59306673,1/4/2025,WEST PRICE HILL
SR25006640,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,3943 VINE ST,CLIFTON,45217.0,INTERNET,2025 Jan 09 12:00:00 AM,8:41 AM,2025 Jan 09 12:00:00 AM,CLOSED,CLOSED,2025 Jan 09 12:00:00 AM,9:51 AM,2025 Jan 09 12:00:00 AM,9:51 AM,24,1/10/2025,2025 Jan 16 12:00:00 AM,7,,,,,,TUESDAY,TUE07,3,Y,0,,,"3,943",,VINE ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,39.15865349,-84.5049785,1/9/2025,NORTH AVONDALE
SR25006617,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,1250 ROSS AV,EAST PRICE HILL,45205.0,INTERNET,2025 Jan 09 12:00:00 AM,8:27 AM,2025 Jan 09 12:00:00 AM,CLOSED,CLOSED,2025 Jan 09 12:00:00 AM,9:51 AM,2025 Jan 09 12:00:00 AM,9:51 AM,24,1/10/2025,2025 Jan 16 12:00:00 AM,7,,,,,,MONDAY,MON14,1,Y,0,,,"1,250",,ROSS AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.11574006,-84.57314912,1/9/2025,EAST PRICE HILL
SR25010771,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,208 E 12TH ST,OVER-THE-RHINE,45202.0,INTERNET,2025 Jan 15 12:00:00 AM,3:10 PM,2025 Jan 21 12:00:00 AM,CLOSED,CLOSED,2025 Jan 21 12:00:00 AM,10:36 AM,2025 Jan 21 12:00:00 AM,10:36 AM,24,1/16/2025,2025 Jan 22 12:00:00 AM,7,,,,,,MONDAY,,,Y,0,,,208,E,12TH ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,1.0,2,,39.10934269,-84.5111835,1/15/2025,OTR
SR25022251,KCLAY,SMUSTRFL,"FLOODING, IN STREET",STANDARD,"2,787",CWW,,7204 I-275 WB EXWY,CALIFORNIA,45230.0,311 CALL,2025 Feb 15 12:00:00 AM,8:27 PM,2025 Feb 25 12:00:00 AM,CLOSED,CLOSED,2025 Feb 25 12:00:00 AM,8:21 AM,2025 Feb 25 12:00:00 AM,8:21 AM,24,2/16/2025,2025 Feb 22 12:00:00 AM,7,,,,,,,,,Y,0,,,"7,204",,I-275 WB EXWY,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.0590663,-84.41323063,2/15/2025,CALIFORNIA
SR25022295,MOBILE,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,1822 CATALINA AV,BOND HILL,45237.0,INTERNET,2025 Feb 16 12:00:00 AM,2:00 AM,2025 Feb 19 12:00:00 AM,CLOSED,CLOSED,2025 Feb 19 12:00:00 AM,9:01 AM,2025 Feb 19 12:00:00 AM,9:01 AM,24,2/17/2025,2025 Feb 23 12:00:00 AM,7,,,,,,TUESDAY,TUE15,2,Y,0,,,"1,822",,CATALINA AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,39.17124946,-84.46397046,2/16/2025,BOND HILL
SR25022823,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,6361 BEECHMONT AV,MT. WASHINGTON,45230.0,INTERNET,2025 Feb 17 12:00:00 AM,10:25 AM,2025 Feb 19 12:00:00 AM,CLOSED,CLOSED,2025 Feb 19 12:00:00 AM,9:09 AM,2025 Feb 19 12:00:00 AM,9:09 AM,24,2/18/2025,2025 Feb 24 12:00:00 AM,7,,,,,,WEDNESDAY,,,Y,0,,,"6,361",,BEECHMONT AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.08728387,-84.38224797,2/17/2025,MOUNT WASHINGTON
SR25023467,CCSRWEB,SMUOVRFL,"FLOODING, OVERLAND",STANDARD,"2,787",CWW,,2131 WEST FORK RD,MT. AIRY,45223.0,INTERNET,2025 Feb 18 12:00:00 AM,10:47 AM,2025 Feb 19 12:00:00 AM,CLOSED,CLOSED,2025 Feb 19 12:00:00 AM,9:10 AM,2025 Feb 19 12:00:00 AM,9:10 AM,24,2/19/2025,2025 Feb 25 12:00:00 AM,7,,,,,,,,,Y,0,,,"2,131",,WEST FORK RD,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.16714991,-84.57327912,2/18/2025,MOUNT AIRY
