SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,DEPT_CODE,DEPT_DIVISION,ADDRESS,NEIGHBORHOOD,ZIPCODE,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD
SR25000303,DBENNETT,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3519 W 8TH ST,EAST PRICE HILL,45205.0,311 CALL,2025 Jan 02 12:00:00 AM,11:26 AM,2025 Jan 15 12:00:00 AM,CLOSED,CLOSED,2025 Jan 15 12:00:00 AM,3:25 AM,2025 Jan 15 12:00:00 AM,3:25 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,,,"3,519",W,8TH ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,1,3.0,98,,39.10597477,-84.57095079,1/2/2025,EAST PRICE HILL
SR25000423,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3845 WILLIAM P DOOLEY BYPS,CAMP WASHINGTON,45223.0,INTERNET,2025 Jan 02 12:00:00 AM,2:22 PM,2025 Jan 13 12:00:00 AM,CLOSED,CLOSED,2025 Jan 13 12:00:00 AM,12:20 PM,2025 Jan 13 12:00:00 AM,12:20 PM,36,1/4/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,,,"3,845",,WILLIAM P DOOLEY BYPS,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.15618526,-84.53895822,1/2/2025,NORTHSIDE
SR25000142,JPRESNELL,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,314 E 9TH ST,DOWNTOWN,45202.0,RADIO,2025 Jan 02 12:00:00 AM,5:33 AM,2025 Jan 15 12:00:00 AM,CLOSED,CLOSED,2025 Jan 15 12:00:00 AM,3:59 AM,2025 Jan 15 12:00:00 AM,3:59 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,MONDAY,,,Y,0,,,314,E,9TH ST,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,6.0,119,,39.10638941,-84.50854703,1/2/2025,DOWNTOWN
SR25000147,CDAVIS2,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,418 FOREST AV,AVONDALE,45229.0,311 CALL,2025 Jan 02 12:00:00 AM,6:32 AM,2025 Jan 17 12:00:00 AM,CLOSED,CLOSED,2025 Jan 17 12:00:00 AM,4:54 AM,2025 Jan 17 12:00:00 AM,4:54 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,,,418,,FOREST AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,39.14620959,-84.49911107,1/2/2025,AVONDALE
SR25000150,CDAVIS2,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,972 LUDLOW AV,CLIFTON,45220.0,311 CALL,2025 Jan 02 12:00:00 AM,6:44 AM,2025 Jan 21 12:00:00 AM,CLOSED,CLOSED,2025 Jan 21 12:00:00 AM,11:35 AM,2025 Jan 21 12:00:00 AM,11:35 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,,,972,,LUDLOW AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,4.0,99,,39.15278598,-84.5356357,1/2/2025,CLIFTON
SR25000148,CDAVIS2,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,2935 CAMPUS GREEN DR,CUF,45221.0,311 CALL,2025 Jan 02 12:00:00 AM,6:36 AM,2025 Feb 07 12:00:00 AM,CLOSED,CLOSED,2025 Feb 07 12:00:00 AM,4:08 AM,2025 Feb 07 12:00:00 AM,4:08 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,,,"2,935",,CAMPUS GREEN DR,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,5,4.0,99,,39.13569517,-84.51521681,1/2/2025,CORRYVILLE - HEIGHTS
SR25000252,MOBILE,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,2970 JEFFERSON AV,CUF,45219.0,INTERNET,2025 Jan 02 12:00:00 AM,10:27 AM,2025 Feb 07 12:00:00 AM,CLOSED,CLOSED,2025 Feb 07 12:00:00 AM,3:29 AM,2025 Feb 07 12:00:00 AM,3:29 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,,,"2,970",,JEFFERSON AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,9,4.0,99,,39.13448513,-84.51088355,1/2/2025,CORRYVILLE - HEIGHTS
SR25000143,JPRESNELL,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3713 ERIE AV,OAKLEY,45208.0,RADIO,2025 Jan 02 12:00:00 AM,5:36 AM,2025 Jan 02 12:00:00 AM,CLOSED,CLOSED,2025 Jan 02 12:00:00 AM,5:36 AM,2025 Jan 02 12:00:00 AM,5:36 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,WEDNESDAY,WED26,1,Y,0,,,"3,713",,ERIE AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,2.0,97,,39.14416839,-84.41337407,1/2/2025,HYDE PARK
SR25000465,DBROWN,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,3351 PARKCREST LN,WESTWOOD,45211.0,311 CALL,2025 Jan 02 12:00:00 AM,3:29 PM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,12:24 PM,2025 Jan 03 12:00:00 AM,12:24 PM,36,1/4/2025,2025 Jan 14 12:00:00 AM,12,,,,,,,,,Y,0,Y,DOTE,"3,351",,PARKCREST LN,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,0,3.0,98,,39.14750319,-84.62061106,1/2/2025,WESTWOOD
SR25000292,CCSRWEB,PTHOLE,"POTHOLE, REPAIR",STANDARD,106,PUB SERV,TROD,6068 BELMONT AV,COLLEGE HILL,45224.0,INTERNET,2025 Jan 02 12:00:00 AM,11:17 AM,2025 Jan 03 12:00:00 AM,CLOSED,CLOSED,2025 Jan 03 12:00:00 AM,11:31 AM,2025 Jan 03 12:00:00 AM,11:31 AM,36,1/3/2025,2025 Jan 14 12:00:00 AM,12,,,,,,THURSDAY,THU24,1,Y,0,,,"6,068",,BELMONT AV,CINC,,,,CINCINNATI,,0.0,,,,,,0.0,0.0,0,2,3.0,98,,39.20052158,-84.5619949,1/2/2025,COLLEGE HILL
